X,Y
998387.5,450377.0899
998387.5,450377.0899
998387.5,450377.0899
998387.5,450377.0899
995965.3701,450287.7799
995965.3701,450287.7799
995965.3701,450287.7799
995965.3701,450287.7799
995965.3701,450287.7799
995965.3701,450287.7799
995965.3701,450287.7799
995965.3701,450287.7799
995965.3701,450287.7799
995965.3701,450287.7799
995965.3701,450287.7799
995965.3701,450287.7799
995965.3701,450287.7799
995965.3701,450287.7799
995965.3701,450287.7799
995965.3701,450287.7799
995965.3701,450287.7799
995965.3701,450287.7799
995965.3701,450287.7799
1013161.25,439804.1201
999828.19,440245.5899
995965.3701,450287.7799
995965.3701,450287.7799
995965.3701,450287.7799
995965.3701,450287.7799
1023983.75,451228.3701
1011564.54,437763.9902
1011564.54,437763.9902
1011564.54,437763.9902
1011564.54,437763.9902
1011564.54,437763.9902
1011564.54,437763.9902
1011564.54,437763.9902
1011564.54,437763.9902
1011564.54,437763.9902
1011564.54,437763.9902
1011564.54,437763.9902
1011564.54,437763.9902
1011564.54,437763.9902
1011564.54,437763.9902
1011564.54,437763.9902
1011564.54,437763.9902
1011564.54,437763.9902
1011564.54,437763.9902
1011564.54,437763.9902
1011564.54,437763.9902
1011564.54,437763.9902
1011564.54,437763.9902
1011564.54,437763.9902
1011564.54,437763.9902
1011564.54,437763.9902
1011564.54,437763.9902
1011564.54,437763.9902
1011564.54,437763.9902
1011564.54,437763.9902
1011564.54,437763.9902
1011564.54,437763.9902
1011564.54,437763.9902
1023983.75,451228.3701
1023983.75,451228.3701
1023983.75,451228.3701
1023983.75,451228.3701
1023983.75,451228.3701
1023983.75,451228.3701
1023983.75,451228.3701
1023983.75,451228.3701
1023983.75,451228.3701
1023983.75,451228.3701
1023983.75,451228.3701
992150.1499,450839.27
1011564.54,437763.9902
1011564.54,437763.9902
1011564.54,437763.9902
1011564.54,437763.9902
1011564.54,437763.9902
1011564.54,437763.9902
1011564.54,437763.9902
1011564.54,437763.9902
1011564.54,437763.9902
1011564.54,437763.9902
1011564.54,437763.9902
1011564.54,437763.9902
1011564.54,437763.9902
1011564.54,437763.9902
1011564.54,437763.9902
